contract_award_data,published_date,department,cotr,amount,period,caption,more_info_pdf
 DCPL-2014-C-0013,"April 9, 2014",Capital Projects,Jeffrey Bonvechio,"$173,493.00","April 15, 2014 through July 1, 2015",Design/Build for Elevator Modernization at Chevy Chase Library,http://dclibrary.org/sites/default/files/CONTRACTAWARDCover%20Sheet_GDG_Chevy%20Chase%20Elevator.pdf
 DCPL-2014-C-0005E,"March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005E_ContractAwardDataExecutive.pdf
 DCPL-2014-C-0005C,"March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per yr. Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005C_ContractAwardDataUG.pdf
 DCPL-2014-C-0005A,"March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per yr. Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005A_ContractAwardDataKC.pdf
 DCPL-2014-C-0005D,"March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per yr. Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005D_ContractAwardDataFreeway.pdf
 DCPL-2014-C-0005B,"March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per yr. Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005B_ContractAwardDataGSI.pdf
 DCPL-2014-C-0004,"March 6, 2014",Program & Partnerships,Meaghan O'Connor,"$299,600.00","February 5, 2014 through September 30, 2014",Computer Training Classes at 10 DCPL Neighborhood Libraries,http://dclibrary.org/sites/default/files/DCPL2014C0004_ContractAwardData_ComputerTraining.pdf
 DCPL-2014-C-0003A,"February 28, 2014",Collections,Elissa Miller,"$99,000.00",Base Year/4 One Year Options,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003A_ContractAward.pdf
 DCPL-2014-C-0003B,"February 28, 2014",Collections,Elissa Miller,"$999,000.00",Base Year/4 One Year Options,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003B_ContractAward_0.pdf
 DCPL-2014-C-0003C,"February 28, 2014",Collections,Elissa Miller,"$999,000.00",Base Year/4 One Year Options,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003C_ContractAward.pdf
 DCPL-2014-C-0003D,"February 28, 2014",Collections,Elissa Miller,"$50,000.00",Base Year/4 One Year Options,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003D_ContractAward.pdf
 DCPL-2014-C-0003E,"February 28, 2014",Collections,Elissa Miller,"$99,000.00",Base Year/4 One Year Options,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003_ContractAward.pdf
 DCPL-2014-C-0003G,"February 27, 2014",Collections,Elissa Miller,"$60,000.00",Base Year/4 One Year Options,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003G_ContractAward.pdf
 DCPL-2014-C-0003H,"February 27, 2014",Collections,Elissa Miller,"$600,000.00",Base Year/4 One Year Options,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003H_ContractAward.pdf
 DCPL-2014-C-0003B,"February 27, 2014",Collections,Elissa Miller,"$999,000.00",Base Year/4 One Year Options,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003B_ContractAward.pdf
 DCPL-2013-C-0003B,"January 22, 2014",Capital Construction,Chris Wright," $887,288.00",730 days (PHS 1 and PHS 2 combined),Design-Build Svcs (Woodridge Library Modular) Phase 2,http://dclibrary.org/sites/default/files/DCPL2013C0003B_ContractAwardDataModularGeniusPHS%202.pdf
