contract_award_data,published_date,department,cotr,amount,period,period_start,period_end,caption,more_info_pdfDCPL-2014-C-0013,"Wednesday, April 9, 2014",Capital Projects,Jeffrey Bonvechio,"$173,493.00 ","April 15, 2014 through July 1, 2015",15-Apr-14,1-Jul-15,Design/Build for Elevator Modernization at Chevy Chase Library,http://dclibrary.org/sites/default/files/CONTRACTAWARDCover%20Sheet_GDG_Chevy%20Chase%20Elevator.pdfDCPL-2014-C-0005E,"Thursday, March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",24-Jan-14,23-Jan-15,Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005E_ContractAwardDataExecutive.pdfDCPL-2014-C-0005C,"Thursday, March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per yr. Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",24-Jan-14,23-Jan-15,Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005C_ContractAwardDataUG.pdfDCPL-2014-C-0005A,"Thursday, March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per yr. Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",24-Jan-14,23-Jan-15,Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005A_ContractAwardDataKC.pdfDCPL-2014-C-0005D,"Thursday, March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per yr. Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",24-Jan-14,23-Jan-15,Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005D_ContractAwardDataFreeway.pdfDCPL-2014-C-0005B,"Thursday, March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per yr. Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",24-Jan-14,23-Jan-15,Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005B_ContractAwardDataGSI.pdfDCPL-2014-C-0004,"Thursday, March 6, 2014",Program & Partnerships,Meaghan O'Connor,"$299,600.00 ","February 5, 2014 through September 30, 2014",5-Feb-14,30-Sep-14,Computer Training Classes at 10 DCPL Neighborhood Libraries,http://dclibrary.org/sites/default/files/DCPL2014C0004_ContractAwardData_ComputerTraining.pdfDCPL-2014-C-0003A,"Friday, February 28, 2014",Collections,Elissa Miller,"$99,000.00 ",Base Year/4 One Year Options,null,null,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003A_ContractAward.pdfDCPL-2014-C-0003B,"Friday, February 28, 2014",Collections,Elissa Miller,"$999,000.00 ",Base Year/4 One Year Options,null,null,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003B_ContractAward_0.pdfDCPL-2014-C-0003C,"Friday, February 28, 2014",Collections,Elissa Miller,"$999,000.00 ",Base Year/4 One Year Options,null,null,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003C_ContractAward.pdfcontract_award_data,published_date,department,cotr,amount,period,period_start,period_end,caption,more_info_pdf
DCPL-2014-C-0003D,"Friday, February 28, 2014",Collections,Elissa Miller,"$50,000.00",Base Year/4 One Year Options,null,null,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003D_ContractAward.pdf
DCPL-2014-C-0003E,"Friday, February 28, 2014",Collections,Elissa Miller,"$99,000.00",Base Year/4 One Year Options,null,null,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003_ContractAward.pdf
DCPL-2014-C-0003G,"Thursday, February 27, 2014",Collections,Elissa Miller,"$60,000.00",Base Year/4 One Year Options,null,null,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003G_ContractAward.pdf
DCPL-2014-C-0003H,"Thursday, February 27, 2014",Collections,Elissa Miller,"$600,000.00",Base Year/4 One Year Options,null,null,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003H_ContractAward.pdf
DCPL-2013-C-0003B,"Wednesday, January 22, 2014",Capital Construction,null,null,730 days (PHS 1 and PHS 2 combined),null,null,Design-Build Svcs (Woodridge Library Modular) Phase 2,http://dclibrary.org/sites/default/files/DCPL2013C0003B_ContractAwardDataModularGeniusPHS%202.pdf
DCPL-2014-C-0006,"Friday, January 17, 2014",Capital Construction,Kim Fuller,"$1,495,575.21",Base Year/4 One Year Options,null,null,(7) Day Janitorial Services at 25 Neighborhood Library,null
DCPL-2013-C-0003A,"Monday, April 22, 2013",Capital Construction,Chris Wright,"$57,192.00",120 days from Contractors signed NTP,null,null,Design-Build Svcs (Woodridge Library Modular) Phase 1,null
DCPL-2013-C-0002,"Tuesday, March 19, 2013",Capital Construction,Jeff Bonvechio,"$146,800.00",365 days from Contractors signed NTP,null,null,Zoning and land use legal services (Woodridge Library),null
DCPL-2013-C-0001,"Thursday, January 3, 2013",Capital Construction,Chris Wright,"$107,274.00",365 days from Contractors signed NTP,null,null,Old Benning Site Restoration Services,null
DCPL-2012-C-0008A,"Friday, December 14, 2012",Capital Construction,Kim Fuller,"$52,000.00",365 days from Contractors signed NTP,null,null,CM at Risk Services (Woodridge Library),null
DCPL-2012-C-0007,"Monday, November 5, 2012",Facilities Management,Reginold Mitchell,"$492,817.00",11/2/12 – 9/30/13 (Base Year),null,null,6 Day System-Wide Janitorial Services,null
DCPL-2012-C-0001,"Friday, April 20, 2012",Capital Construction,Kim Fuller,"$1,485,710.00","April 19, 2012 – 1,275 day from contractors signed NTP",null,null,A/E Services (Woodridge Library),null
DCPL-2012-I-0002,"Monday, March 19, 2012",Facilities Management,Edward Hampton,"$99,779.20",3/12/12 – 9/30/12,null,null,"Landscape, Lawn and Snow Removal Services",null
DCPL-2011-C-0007,"Wednesday, February 8, 2012",21st Century Capital Projects,Chris Wright,"$839,500.00",181 Days from signed Notice To Proceed,null,null,Design/Build Services –Northeast Neighborhood Library,null
Pre-Construction),"Friday, September 23, 2011",Capital Construction,Kim Fuller,"$12,000.00",10/3/11 - 12/30/11,null,null,Interior Improvements to the Business Science and Technology Division & Great Hall at the Martin Luther King Library,null
DCPL-2010-C-0005O,"Tuesday, June 14, 2011",Capital Construction,Chris Wright,"$940,244.00",168 days from contractors signed Notice to Proceed,null,null,General Construction Services Mount Pleasant Library BP-08 (Glass and Glazing),null
